MessageSize;DictFileSize;ChunkSize;ComputationTime
30;500000;5;12.730
30;500000;6;10.608
30;500000;7;9.096
30;500000;8;7.958
30;500000;9;9.844
30;500000;10;6.367
30;500000;12;5.303
30;500000;15;4.242
30;500000;20;3.182
30;500000;25;2.548
30;500000;30;2.122
30;500000;35;1.819
30;500000;40;1.592
30;500000;45;1.417
30;500000;50;1.276
30;1000000;4;16.699
30;1000000;5;12.738
30;1000000;6;10.611
30;1000000;7;9.102
30;1000000;8;7.957
30;1000000;9;7.868
30;1000000;10;6.365
30;1000000;12;5.303
30;1000000;15;4.243
30;1000000;20;3.183
30;1000000;25;2.549
30;1000000;30;2.122
30;1000000;35;1.819
30;1000000;40;1.591
30;1000000;45;1.418
30;1000000;50;1.276
30;2000000;4;16.643
30;2000000;5;12.735
30;2000000;6;10.610
30;2000000;7;9.096
30;2000000;8;8.685
30;2000000;9;7.074
30;2000000;10;6.367
30;2000000;12;5.305
30;2000000;15;4.243
30;2000000;20;3.183
30;2000000;25;2.549
30;2000000;30;2.121
30;2000000;35;1.820
30;2000000;40;1.591
30;2000000;45;1.417
30;2000000;50;1.283
30;4000000;4;15.916
30;4000000;5;12.732
30;4000000;6;10.610
30;4000000;7;9.799
30;4000000;8;7.958
30;4000000;9;7.074
30;4000000;10;6.367
30;4000000;12;5.304
30;4000000;15;4.245
30;4000000;20;3.183
30;4000000;25;2.548
30;4000000;30;2.123
30;4000000;35;4.586
30;4000000;40;1.592
30;4000000;45;1.417
30;4000000;50;1.276
34;10000;4;11.008
34;10000;5;8.809
34;10000;6;7.341
34;10000;7;6.293
34;10000;8;5.510
34;10000;9;5.713
34;10000;10;4.404
34;10000;12;3.671
34;10000;15;2.937
34;10000;20;2.203
34;10000;25;1.763
34;10000;30;1.470
34;10000;35;1.261
34;10000;40;1.103
34;10000;45;0.980
34;10000;50;0.883
34;50000;4;18.038
34;50000;5;15.201
34;50000;6;12.033
34;50000;7;10.306
34;50000;8;9.016
34;50000;9;8.800
34;50000;10;7.215
34;50000;12;6.012
34;50000;15;4.812
34;50000;20;3.610
34;50000;25;2.890
34;50000;30;2.409
34;50000;35;2.063
34;50000;40;1.808
34;50000;45;1.604
34;50000;50;1.446
34;100000;4;18.784
34;100000;5;14.432
34;100000;6;12.027
34;100000;7;10.309
34;100000;8;9.829
34;100000;9;8.020
34;100000;10;7.216
34;100000;12;6.014
34;100000;15;4.812
34;100000;20;3.610
34;100000;25;2.890
34;100000;30;2.409
34;100000;35;2.063
34;100000;40;1.809
34;100000;45;2.346
34;100000;50;1.467
34;200000;4;18.040
34;200000;5;14.433
34;200000;6;12.781
34;200000;7;10.325
34;200000;8;9.020
34;200000;9;8.020
34;200000;10;7.215
34;200000;12;6.017
34;200000;15;4.815
34;200000;20;4.385
34;200000;25;2.889
34;200000;30;2.407
34;200000;35;2.064
34;200000;40;1.806
34;200000;45;1.605
34;200000;50;1.446
34;500000;4;18.038
34;500000;5;15.186
34;500000;6;12.031
34;500000;7;10.307
34;500000;8;9.019
34;500000;9;8.020
34;500000;10;7.992
34;500000;12;6.026
34;500000;15;4.812
34;500000;20;3.611
